ID,EN,TH
GAME_TITLE,Hollow Knight,
PRE_MENU_QUOTE,การหลงทางและหาเส้นทางใหม่อีกครั้ง เป็นความสุขที่ไม่เหมือนใคร,
GAME_DISPLAY_TITLE,,
SAVE_WARNING,เกมนี้บันทึกข้อมูลโดยอัตโนมัติในบางจุด<br> กรุณาอย่าปิดเกมในขณะที่สัญลักษณ์นี้ปรากฎขึ้น,
CONTROL_PROMPT,ขอแนะนำให้ใช้คอนโทรลเลอร์,
VERSION_NUMBER,- - -,
PROLOGUE_EXCERPT_AUTHOR,- จาก 'Elegy for Hallownest' โดย Monomon the Teacher ,
PROLOGUE_EXCERPT_02,เพราะไม่มีใครที่จะควบคุมวิญญาณร้ายของเราได้ แต่คุณกลับท้าทายมัน,
PROLOGUE_EXCERPT_03,ภายใต้ช่วงเวลาที่หม่นหมอง คุณสอน เราเปลี่ยน สัญชาตญาณดั้งเดิมถูกรื้อฟื้น,
PRE_MENU_QUOTE_AUTHOR,- Cornifer,
PROLOGUE_EXCERPT_01,ณ ป่าที่ไกลออกไป พวกเขาเอ่ยชื่อของคุณด้วยความเคารพ และเศร้าโศก,
SNEAK_PEEK,This Sneak Peek is taken from an unfinished build of Hollow Knight and does not represent final performance.,
PROLOGUE_EXCERPT_04,โลกที่คุณมอบให้แมลงและสัตว์ร้าย อย่างที่พวกเขาไม่เคยนึกฝัน,
